# Generated from assets/fonts/lucide.ttf (best cmap, PUA only)
spline	E38B
spline-pointer	E64F
split	E440
split-square-horizontal	E3B6
split-square-vertical	E3B7
spool	E677
spotlight	E682
spray-can	E495
sprout	E1EB
square	E167
square-dashed-bottom	E4C0
square-dashed-bottom-code	E4C1
square-dashed-top-solid	E66C
square-pause	E684
square-radical	E5C3
square-round-corner	E648
square-square	E60E
square-stack	E4A2
square-star	E68E
square-stop	E685
square-terminal	E20A
square-user	E465
square-user-round	E466
square-x	E175
squares-exclude	E657
squares-intersect	E658
squares-subtract	E659
squares-unite	E65A
squircle	E57A
squircle-dashed	E679
squirrel	E49F
stamp	E3BB
star	E176
star-half	E20B
star-off	E2B0
step-back	E3E9
step-forward	E3EA
stethoscope	E2F1
sticker	E302
sticky-note	E303
store	E3E4
stretch-horizontal	E27C
stretch-vertical	E27D
strikethrough	E177
subscript	E25C
sun	E178
sun-dim	E299
sun-medium	E2B1
sun-moon	E2B2
sun-snow	E372
sunrise	E179
sunset	E17A
superscript	E25E
swatch-book	E59F
swiss-franc	E17B
switch-camera	E17C
sword	E2B3
swords	E2B4
syringe	E2F2
table	E17D
table-2	E2F9
table-cells-merge	E5C7
table-cells-split	E5C8
table-columns-split	E5C9
table-of-contents	E61E
table-properties	E4DB
table-rows-split	E5CA
tablet	E17E
tablet-smartphone	E50A
tablets	E3BE
tag	E17F
tags	E35C
tally-1	E4D6
tally-2	E4D7
tally-3	E4D8
tally-4	E4D9
tally-5	E4DA
tangent	E52E
target	E180
telescope	E5C5
tent	E227
tent-tree	E53B
terminal	E181
test-tube	E405
test-tube-2	E406
test-tubes	E407
text-cursor	E264
text-cursor-input	E265
text-quote	E49E
text-search	E5AD
text-select	E3DE
text-wrap	E248
theater	E522
thermometer	E186
thermometer-snowflake	E187
thermometer-sun	E188
thumbs-down	E189
thumbs-up	E18A
ticket	E20F
ticket-check	E5AE
ticket-minus	E5AF
ticket-percent	E5B0
ticket-plus	E5B1
ticket-slash	E5B2
ticket-x	E5B3
tickets	E622
tickets-plane	E623
timer	E1E0
timer-off	E249
timer-reset	E236
toggle-left	E18B
toggle-right	E18C
toilet	E635
tool-case	E67D
toolbox	E6B0
tornado	E218
torus	E52F
touchpad	E449
touchpad-off	E44A
tower-control	E3BC
toy-brick	E347
tractor	E504
traffic-cone	E505
train	E2A9
train-front	E506
train-front-tunnel	E507
train-track	E508
transgender	E644
trash	E18D
trash-2	E18E
tree-deciduous	E2F3
tree-pine	E2F4
trees	E2F5
trello	E18F
trending-down	E190
trending-up	E191
trending-up-down	E625
triangle	E192
triangle-dashed	E63D
triangle-right	E4ED
trophy	E373
truck	E194
truck-electric	E65F
turkish-lira	E680
turntable	E68C
turtle	E4F9
tv	E195
tv-2	E203
tv-minimal-play	E5EC
twitch	E196
twitter	E197
type	E198
type-outline	E602
umbrella	E199
umbrella-off	E543
underline	E19A
undo	E19B
undo-2	E2A1
undo-dot	E451
unfold-horizontal	E43D
unfold-vertical	E43E
ungroup	E467
unlink	E19C
unlink-2	E19D
unplug	E45D
upload	E19E
usb	E356
user	E19F
user-2	E468
user-check	E1A0
user-check-2	E469
user-cog	E342
user-cog-2	E46A
user-lock	E660
user-minus	E1A1
user-minus-2	E46B
user-pen	E5FC
user-plus	E1A2
user-plus-2	E46C
user-round-pen	E5FD
user-round-search	E578
user-round-x	E46D
user-search	E579
user-star	E687
user-x	E1A3
users	E1A4
users-2	E46E
utility-pole	E3C2
van	E6AD
variable	E473
vault	E58F
vector-square	E67C
vegan	E39D
venetian-mask	E2AA
venus	E645
venus-and-mars	E646
vibrate	E223
vibrate-off	E29D
video	E1A5
video-off	E1A6
videotape	E4CB
view	E1A7
voicemail	E1A8
volleyball	E62F
volume	E1A9
volume-1	E1AA
volume-2	E1AB
volume-off	E626
volume-x	E1AC
vote	E3AD
wallet	E204
wallet-2	E4CD
wallet-cards	E4CC
wallpaper	E44B
wand	E246
wand-2	E357
warehouse	E3E6
washing-machine	E590
watch	E1AD
waves	E283
waves-arrow-down	E6A9
waves-arrow-up	E6AA
waves-ladder	E63B
waypoints	E542
webcam	E205
webhook	E374
webhook-off	E5B7
weight	E530
weight-tilde	E6AE
wheat	E39E
wheat-off	E39F
whole-word	E3DF
wifi	E1AE
wifi-cog	E674
wifi-high	E5F7
wifi-low	E5F8
wifi-off	E1AF
wifi-pen	E663
wifi-sync	E681
wifi-zero	E5F9
wind	E1B0
wind-arrow-down	E631
wine	E2F8
wine-off	E3A0
workflow	E425
worm	E5DA
wrench	E1B1
x	E1B2
youtube	E1B3
zap	E1B4
zap-off	E1B5
zoom-in	E1B6
zoom-out	E1B7
